Отделение,Сумма Чеков в день,номер недели р
Юнимолл,674,1
Юнимолл,682,2
Юнимолл,676,3
Юнимолл,702,4
Юнимолл,879,5
ул. Ф.Попова д. 15,603,1
ул. Ф.Попова д. 15,899,2
ул. Ф.Попова д. 15,827,3
ул. Ф.Попова д. 15,899,4
ул. Ф.Попова д. 15,977,5
"ул. 203 мкр, 8 корпус",1131,1
"ул. 203 мкр, 8 корпус",1701,2
"ул. 203 мкр, 8 корпус",1579,3
"ул. 203 мкр, 8 корпус",1850,4
"ул. 203 мкр, 8 корпус",1925,5
Пояркова 21,407,1
Пояркова 21,564,2
Пояркова 21,619,3
Пояркова 21,648,4
Пояркова 21,681,5
Павильон Пояркова 20/1,838,1
Павильон Пояркова 20/1,1567,2
Павильон Пояркова 20/1,1393,3
Павильон Пояркова 20/1,1437,4
Павильон Пояркова 20/1,1691,5
Орджоникидзе 18,611,1
Орджоникидзе 18,1193,2
Орджоникидзе 18,1166,3
Орджоникидзе 18,1262,4
Орджоникидзе 18,1390,5
Ойунского 23 Первая,1018,1
Ойунского 23 Первая,2752,2
Ойунского 23 Первая,3084,3
Ойунского 23 Первая,3551,4
Ойунского 23 Первая,3978,5
Можайского 17/1,257,1
Можайского 17/1,294,2
Можайского 17/1,356,3
Можайского 17/1,351,4
Можайского 17/1,412,5
Лермонтова 62/2,1051,1
Лермонтова 62/2,1602,2
Лермонтова 62/2,1366,3
Лермонтова 62/2,1458,4
Лермонтова 62/2,1609,5
Лермонтова 56а,276,1
Лермонтова 56а,446,2
Лермонтова 56а,406,3
Лермонтова 56а,420,4
Лермонтова 56а,493,5
Ларионова 16,532,1
Ларионова 16,836,2
Ларионова 16,769,3
Ларионова 16,856,4
Ларионова 16,937,5
Кузьмина 34а,481,1
Кузьмина 34а,711,2
Кузьмина 34а,646,3
Кузьмина 34а,636,4
Кузьмина 34а,771,5
Кирова 20,686,1
Кирова 20,1334,2
Кирова 20,1251,3
Кирова 20,1282,4
Кирова 20,1481,5
Дзержинского 42 к.3,454,1
Дзержинского 42 к.3,633,2
Дзержинского 42 к.3,648,3
Дзержинского 42 к.3,695,4
Дзержинского 42 к.3,761,5
Дзержинского 30а,802,1
Дзержинского 30а,1187,2
Дзержинского 30а,1107,3
Дзержинского 30а,1197,4
Дзержинского 30а,1349,5
Дзержинского 1,818,1
Дзержинского 1,1437,2
Дзержинского 1,1310,3
Дзержинского 1,1407,4
Дзержинского 1,1503,5
Алексеева 7,584,1
Алексеева 7,874,2
Алексеева 7,746,3
Алексеева 7,790,4
Алексеева 7,848,5
Автодорожный 44,392,1
Автодорожный 44,566,2
Автодорожный 44,518,3
Автодорожный 44,604,4
Автодорожный 44,592,5
50 лет октября 6,752,1
50 лет октября 6,824,2
50 лет октября 6,746,3
50 лет октября 6,789,4
50 лет октября 6,823,5
203 мкр корпус 22,306,1
203 мкр корпус 22,550,2
203 мкр корпус 22,468,3
203 мкр корпус 22,474,4
203 мкр корпус 22,621,5
